               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.014706,           0.0072742,          0.00094009,             0.99735,             0.99831,             0.99495,             0.86188,            0.012347,           0.0050822,          8.5741e-05,            0.001156,            0.001156,            0.001156
                 136,            0.014618,           0.0072209,           0.0008592,             0.99713,             0.99821,             0.99496,             0.86141,            0.012325,           0.0050751,          8.4544e-05,             0.00109,             0.00109,             0.00109
                 137,            0.014429,           0.0071663,          0.00085046,             0.99705,             0.99823,             0.99497,               0.863,            0.012286,           0.0050641,          8.3161e-05,            0.001024,            0.001024,            0.001024
                 138,            0.014408,           0.0071115,          0.00092115,             0.99824,             0.99721,             0.99497,              0.8634,            0.012264,           0.0050561,          8.2395e-05,            0.000958,            0.000958,            0.000958
                 139,            0.014308,           0.0069484,          0.00095829,             0.99819,             0.99731,             0.99498,             0.86366,            0.012235,           0.0050482,          8.1651e-05,            0.000892,            0.000892,            0.000892
                 140,            0.014294,           0.0070768,          0.00089609,             0.99818,             0.99728,             0.99498,             0.86479,            0.012206,           0.0050404,          8.0909e-05,            0.000826,            0.000826,            0.000826
                 141,            0.014151,            0.007028,          0.00091462,             0.99784,             0.99766,             0.99498,             0.86547,            0.012192,           0.0050323,           8.019e-05,             0.00076,             0.00076,             0.00076
                 142,            0.014202,           0.0069706,          0.00089702,             0.99805,             0.99773,             0.99498,             0.86498,            0.012165,            0.005022,          7.9257e-05,            0.000694,            0.000694,            0.000694
                 143,            0.014131,            0.006957,          0.00089675,             0.99804,             0.99779,             0.99498,             0.86622,            0.012143,           0.0050162,          7.8319e-05,            0.000628,            0.000628,            0.000628
                 144,            0.013985,           0.0069501,          0.00080167,             0.99797,             0.99791,             0.99498,             0.86629,            0.012121,           0.0050118,          7.7393e-05,            0.000562,            0.000562,            0.000562
                 145,            0.013875,           0.0068393,          0.00079235,             0.99795,             0.99794,             0.99498,             0.86736,              0.0121,           0.0050031,          7.6398e-05,            0.000496,            0.000496,            0.000496
                 146,            0.013953,           0.0069815,          0.00076915,             0.99793,             0.99797,             0.99499,             0.86696,            0.012087,           0.0050006,          7.5487e-05,             0.00043,             0.00043,             0.00043
                 147,            0.013742,           0.0068309,          0.00078829,             0.99794,             0.99795,             0.99498,             0.86689,            0.012072,           0.0049946,          7.4669e-05,            0.000364,            0.000364,            0.000364
                 148,            0.013831,           0.0068448,          0.00077301,             0.99796,             0.99794,             0.99498,             0.86737,            0.012052,           0.0049874,          7.3733e-05,            0.000298,            0.000298,            0.000298
                 149,            0.013765,           0.0068022,          0.00073056,             0.99786,               0.998,             0.99498,             0.86857,            0.012041,           0.0049832,          7.2825e-05,            0.000232,            0.000232,            0.000232
